品牌,型號,售價,車身長度,車身寬度,車重(kg),最大馬力(hp/rpm),最大扭力(kgm/rpm),馬達出力(hp/kgm),動力型式,驅動型式,排氣量,變速系統,官方0-100km/h加速(s)
Toyota,RAV4 2.0 旗艦,117萬,4600,1855,1610,173hp@6600rpm,20.7kgm@4400rpm,,汽油,前輪驅動,1987,CVT無段變速,10.7
Toyota,RAV4 2.5 Hybrid 旗艦 4WD,138萬,4600,1855,1755,178hp@5700rpm,22.5kgm@3600rpm,222hp(綜效),油電混合,四輪驅動,2487,CVT無段變速,8.1
Toyota,bZ4X,136萬,4690,1860,1900,201hp,27.2kgm,,電動,前輪驅動,,單速變速箱,7.5
Volkswagen,Golf 280 eTSI Style,118.8萬,4284,1789,1326,150hp@5000rpm,25.5kgm@1500rpm,12hp(48V),油電混合,前輪驅動,1498,自手排7速,8.5
Volkswagen,Golf 280 eTSI R-Line,128.8萬,4284,1789,1326,150hp@5000rpm,25.5kgm@1500rpm,12hp(48V),油電混合,前輪驅動,1498,自手排7速,8.5
Volkswagen,Golf GTI,175.8萬,4287,1789,1451,245hp@5000rpm,37.8kgm@1600rpm,,汽油,前輪驅動,1984,自手排7速,6.3
Volkswagen,Golf R,213.8萬,4290,1789,1509,320hp@5350rpm,40.8kgm@2100rpm,,汽油,四輪驅動,1984,自手排7速,4.8
Volkswagen,T-ROC 280 TSI Style Design,122.8萬,4251,1819,1324,150hp@5000rpm,25.5kgm@1500rpm,,汽油,前輪驅動,1498,自手排7速,8.6
Volkswagen,T-ROC 330 TSI R-Line Performance,148.8萬,4251,1819,1493,190hp@4200rpm,32.6kgm@1500rpm,,汽油,四輪驅動,1984,自手排7速,6.8
Volkswagen,T-ROC R,188.8萬,4236,1819,1574,300hp@5300rpm,40.8kgm@2000rpm,,汽油,四輪驅動,1984,自手排7速,4.9
Volkswagen,Tiguan 280 eTSI Elegance (The New Tiguan),139.8萬,4539,1842,1616,150hp@5000rpm,25.5kgm@1500rpm,20hp(48V),油電混合,前輪驅動,1498,自手排7速,9.1
Volkswagen,Tiguan 280 eTSI Elegance Premium (The New Tiguan),149.8萬,4539,1842,1616,150hp@5000rpm,25.5kgm@1500rpm,20hp(48V),油電混合,前輪驅動,1498,自手排7速,9.1
Volkswagen,Tiguan 380 TSI R-Line Performance (The New Tiguan),199.8萬,4539,1842,1740,265hp,40.8kgm,,汽油,四輪驅動,1984,自手排7速,6.0
